"Comunidad.Autónoma","Sexo","Rama.de.enseñanza","Número.de.estudiantes"
"Andalucía",0,"Artes y Humanidades",14101
"Aragón",0,"Artes y Humanidades",1874
"Asturias",0,"Artes y Humanidades",1560
"Cantabria",0,"Artes y Humanidades",322
"Castilla la Mancha",0,"Artes y Humanidades",4427
"Castilla y León",0,"Artes y Humanidades",1365
"Cataluña",0,"Artes y Humanidades",10648
"Extremadura",0,"Artes y Humanidades",486
"Galicia",0,"Artes y Humanidades",3204
"Islas Baleares",0,"Artes y Humanidades",742
"Islas Canarias",0,"Artes y Humanidades",2708
"La Rioja",0,"Artes y Humanidades",143
"Madrid",0,"Artes y Humanidades",11530
"Murcia",0,"Artes y Humanidades",2505
"Navarra",0,"Artes y Humanidades",121
"País Vasco",0,"Artes y Humanidades",2408
"Valencia",0,"Artes y Humanidades",7034
"Andalucía",1,"Artes y Humanidades",25595
"Aragón",1,"Artes y Humanidades",2388
"Asturias",1,"Artes y Humanidades",2511
"Cantabria",1,"Artes y Humanidades",252
"Castilla la Mancha",1,"Artes y Humanidades",8812
"Castilla y León",1,"Artes y Humanidades",1806
"Cataluña",1,"Artes y Humanidades",24540
"Extremadura",1,"Artes y Humanidades",712
"Galicia",1,"Artes y Humanidades",5927
"Islas Baleares",1,"Artes y Humanidades",1263
"Islas Canarias",1,"Artes y Humanidades",5791
"La Rioja",1,"Artes y Humanidades",293
"Madrid",1,"Artes y Humanidades",21539
"Murcia",1,"Artes y Humanidades",5488
"Navarra",1,"Artes y Humanidades",80
"País Vasco",1,"Artes y Humanidades",4328
"Valencia",1,"Artes y Humanidades",13504
"Andalucía",0,"Ciencias",24316
"Aragón",0,"Ciencias",2263
"Asturias",0,"Ciencias",4008
"Cantabria",0,"Ciencias",808
"Castilla la Mancha",0,"Ciencias",8032
"Castilla y León",0,"Ciencias",3298
"Cataluña",0,"Ciencias",25395
"Extremadura",0,"Ciencias",1954
"Galicia",0,"Ciencias",5828
"Islas Baleares",0,"Ciencias",1893
"Islas Canarias",0,"Ciencias",4832
"La Rioja",0,"Ciencias",574
"Madrid",0,"Ciencias",23027
"Murcia",0,"Ciencias",3851
"Navarra",0,"Ciencias",695
"País Vasco",0,"Ciencias",4532
"Valencia",0,"Ciencias",12888
"Andalucía",1,"Ciencias",13865
"Aragón",1,"Ciencias",1409
"Asturias",1,"Ciencias",2150
"Cantabria",1,"Ciencias",394
"Castilla la Mancha",1,"Ciencias",3787
"Castilla y León",1,"Ciencias",1761
"Cataluña",1,"Ciencias",15654
"Extremadura",1,"Ciencias",1004
"Galicia",1,"Ciencias",4422
"Islas Baleares",1,"Ciencias",1257
"Islas Canarias",1,"Ciencias",2494
"La Rioja",1,"Ciencias",223
"Madrid",1,"Ciencias",15255
"Murcia",1,"Ciencias",2399
"Navarra",1,"Ciencias",268
"País Vasco",1,"Ciencias",3044
"Valencia",1,"Ciencias",6663
"Andalucía",0,"Ciencias de la Salud",5308
"Aragón",0,"Ciencias de la Salud",803
"Asturias",0,"Ciencias de la Salud",869
"Cantabria",0,"Ciencias de la Salud",246
"Castilla la Mancha",0,"Ciencias de la Salud",1721
"Castilla y León",0,"Ciencias de la Salud",1264
"Cataluña",0,"Ciencias de la Salud",4783
"Extremadura",0,"Ciencias de la Salud",704
"Galicia",0,"Ciencias de la Salud",2045
"Islas Baleares",0,"Ciencias de la Salud",350
"Islas Canarias",0,"Ciencias de la Salud",1560
"La Rioja",0,"Ciencias de la Salud",50
"Madrid",0,"Ciencias de la Salud",3307
"Murcia",0,"Ciencias de la Salud",1212
"Navarra",0,"Ciencias de la Salud",126
"País Vasco",0,"Ciencias de la Salud",1344
"Valencia",0,"Ciencias de la Salud",2003
"Andalucía",1,"Ciencias de la Salud",17684
"Aragón",1,"Ciencias de la Salud",2922
"Asturias",1,"Ciencias de la Salud",2951
"Cantabria",1,"Ciencias de la Salud",796
"Castilla la Mancha",1,"Ciencias de la Salud",6148
"Castilla y León",1,"Ciencias de la Salud",5524
"Cataluña",1,"Ciencias de la Salud",18561
"Extremadura",1,"Ciencias de la Salud",2825
"Galicia",1,"Ciencias de la Salud",6464
"Islas Baleares",1,"Ciencias de la Salud",1445
"Islas Canarias",1,"Ciencias de la Salud",5150
"La Rioja",1,"Ciencias de la Salud",576
"Madrid",1,"Ciencias de la Salud",9772
"Murcia",1,"Ciencias de la Salud",4007
"Navarra",1,"Ciencias de la Salud",862
"País Vasco",1,"Ciencias de la Salud",4545
"Valencia",1,"Ciencias de la Salud",7350
"Andalucía",0,"Ciencias Sociales y Jurídicas",35016
"Aragón",0,"Ciencias Sociales y Jurídicas",7199
"Asturias",0,"Ciencias Sociales y Jurídicas",4033
"Cantabria",0,"Ciencias Sociales y Jurídicas",2342
"Castilla la Mancha",0,"Ciencias Sociales y Jurídicas",9998
"Castilla y León",0,"Ciencias Sociales y Jurídicas",6598
"Cataluña",0,"Ciencias Sociales y Jurídicas",27369
"Extremadura",0,"Ciencias Sociales y Jurídicas",3270
"Galicia",0,"Ciencias Sociales y Jurídicas",10328
"Islas Baleares",0,"Ciencias Sociales y Jurídicas",3332
"Islas Canarias",0,"Ciencias Sociales y Jurídicas",7775
