"Comunidad.Autónoma","Sexo","Rama.de.enseñanza","Número.de.estudiantes"
"Andalucía",0,"Artes y Humanidades",28664
"Aragón",0,"Artes y Humanidades",3412
"Asturias",0,"Artes y Humanidades",2940
"Cantabria",0,"Artes y Humanidades",648
"Castilla la Mancha",0,"Artes y Humanidades",9912
"Castilla y León",0,"Artes y Humanidades",2560
"Cataluña",0,"Artes y Humanidades",23534
"Extremadura",0,"Artes y Humanidades",998
"Galicia",0,"Artes y Humanidades",5776
"Islas Baleares",0,"Artes y Humanidades",1538
"Islas Canarias",0,"Artes y Humanidades",5524
"La Rioja",0,"Artes y Humanidades",216
"Madrid",0,"Artes y Humanidades",21230
"Murcia",0,"Artes y Humanidades",4470
"Navarra",0,"Artes y Humanidades",248
"País Vasco",0,"Artes y Humanidades",4594
"Valencia",0,"Artes y Humanidades",12972
"Andalucía",1,"Artes y Humanidades",51610
"Aragón",1,"Artes y Humanidades",5630
"Asturias",1,"Artes y Humanidades",4722
"Cantabria",1,"Artes y Humanidades",438
"Castilla la Mancha",1,"Artes y Humanidades",17512
"Castilla y León",1,"Artes y Humanidades",3604
"Cataluña",1,"Artes y Humanidades",46174
"Extremadura",1,"Artes y Humanidades",1592
"Galicia",1,"Artes y Humanidades",12206
"Islas Baleares",1,"Artes y Humanidades",2610
"Islas Canarias",1,"Artes y Humanidades",9824
"La Rioja",1,"Artes y Humanidades",544
"Madrid",1,"Artes y Humanidades",44280
"Murcia",1,"Artes y Humanidades",8692
"Navarra",1,"Artes y Humanidades",158
"País Vasco",1,"Artes y Humanidades",9426
"Valencia",1,"Artes y Humanidades",27538
"Andalucía",0,"Ciencias",46574
"Aragón",0,"Ciencias",5618
"Asturias",0,"Ciencias",6714
"Cantabria",0,"Ciencias",1788
"Castilla la Mancha",0,"Ciencias",15666
"Castilla y León",0,"Ciencias",6218
"Cataluña",0,"Ciencias",43464
"Extremadura",0,"Ciencias",3930
"Galicia",0,"Ciencias",13612
"Islas Baleares",0,"Ciencias",3986
"Islas Canarias",0,"Ciencias",8680
"La Rioja",0,"Ciencias",1098
"Madrid",0,"Ciencias",42896
"Murcia",0,"Ciencias",7048
"Navarra",0,"Ciencias",1488
"País Vasco",0,"Ciencias",8582
"Valencia",0,"Ciencias",28678
"Andalucía",1,"Ciencias",27818
"Aragón",1,"Ciencias",3243
"Asturias",1,"Ciencias",3548
"Cantabria",1,"Ciencias",768
"Castilla la Mancha",1,"Ciencias",9176
"Castilla y León",1,"Ciencias",2884
"Cataluña",1,"Ciencias",30306
"Extremadura",1,"Ciencias",2726
"Galicia",1,"Ciencias",8602
"Islas Baleares",1,"Ciencias",2148
"Islas Canarias",1,"Ciencias",3954
"La Rioja",1,"Ciencias",592
"Madrid",1,"Ciencias",26684
"Murcia",1,"Ciencias",4376
"Navarra",1,"Ciencias",636
"País Vasco",1,"Ciencias",5606
"Valencia",1,"Ciencias",16010
"Andalucía",0,"Ciencias de la Salud",12394
"Aragón",0,"Ciencias de la Salud",1832
"Asturias",0,"Ciencias de la Salud",1236
"Cantabria",0,"Ciencias de la Salud",856
"Castilla la Mancha",0,"Ciencias de la Salud",4430
"Castilla y León",0,"Ciencias de la Salud",2848
"Cataluña",0,"Ciencias de la Salud",9610
"Extremadura",0,"Ciencias de la Salud",1836
"Galicia",0,"Ciencias de la Salud",3574
"Islas Baleares",0,"Ciencias de la Salud",724
"Islas Canarias",0,"Ciencias de la Salud",2994
"La Rioja",0,"Ciencias de la Salud",208
"Madrid",0,"Ciencias de la Salud",6220
"Murcia",0,"Ciencias de la Salud",2414
"Navarra",0,"Ciencias de la Salud",334
"País Vasco",0,"Ciencias de la Salud",2356
"Valencia",0,"Ciencias de la Salud",4662
"Andalucía",1,"Ciencias de la Salud",36488
"Aragón",1,"Ciencias de la Salud",6118
