"Comunidad.Autónoma","Sexo","Rama.de.enseñanza","Número.de.estudiantes"
"Andalucía",0,"Artes y Humanidades",19360.532177303812
"Aragón",0,"Artes y Humanidades",2330.111191527702
"Asturias",0,"Artes y Humanidades",2329.687635702997
"Cantabria",0,"Artes y Humanidades",863.632039939146
"Castilla la Mancha",0,"Artes y Humanidades",7391.722744930062
"Castilla y León",0,"Artes y Humanidades",2120.4341609677563
"Cataluña",0,"Artes y Humanidades",15123.591066865574
"Extremadura",0,"Artes y Humanidades",1155.9133125563121
"Galicia",0,"Artes y Humanidades",5327.767735550862
"Islas Baleares",0,"Artes y Humanidades",1340.6459388801086
"Islas Canarias",0,"Artes y Humanidades",3777.010605143051
"La Rioja",0,"Artes y Humanidades",841.4202620267935
"Madrid",0,"Artes y Humanidades",15421.198602720706
"Murcia",0,"Artes y Humanidades",3844.8266251126242
"Navarra",0,"Artes y Humanidades",819.4202620267935
"País Vasco",0,"Artes y Humanidades",2992.392464144868
"Valencia",0,"Artes y Humanidades",10069.990118606265
"Andalucía",1,"Artes y Humanidades",30897.292601509533
"Aragón",1,"Artes y Humanidades",2943.8855146743867
"Asturias",1,"Artes y Humanidades",3252.1806862325157
"Cantabria",1,"Artes y Humanidades",893.4063630858308
"Castilla la Mancha",1,"Artes y Humanidades",11334.865028137601
"Castilla y León",1,"Artes y Humanidades",2376.1389894096274
"Cataluña",1,"Artes y Humanidades",29229.393187894184
"Extremadura",1,"Artes y Humanidades",1339.15288835059
"Galicia",1,"Artes y Humanidades",8065.021210286102
"Islas Baleares",1,"Artes y Humanidades",1875.8994136153494
"Islas Canarias",1,"Artes y Humanidades",7088.066200906902
"La Rioja",1,"Artes y Humanidades",920.15288835059
"Madrid",1,"Artes y Humanidades",25772.281996366484
"Murcia",1,"Artes y Humanidades",6827.826625112624
"Navarra",1,"Artes y Humanidades",778.4202620267935
"País Vasco",1,"Artes y Humanidades",5040.673736762034
"Valencia",1,"Artes y Humanidades",17038.86173433969
"Andalucía",2,"Artes y Humanidades",12656.736643871025
"Aragón",2,"Artes y Humanidades",2077.899413615349
"Asturias",2,"Artes y Humanidades",780.0972925867392
"Cantabria",2,"Artes y Humanidades",550.6042420572205
"Castilla la Mancha",2,"Artes y Humanidades",5336.347473524068
"Castilla y León",2,"Artes y Humanidades",1388.336868381017
"Cataluña",2,"Artes y Humanidades",9095.500361874658
"Extremadura",2,"Artes y Humanidades",627.8438178514984
