"PCA1","PCA2","PCA3","Variable"
0.22,0.45,0.44,"Comunidad.AutónomaAndalucía"
0.7,0.5,0.66,"Comunidad.AutónomaAragón"
0.7,0.5,0.67,"Comunidad.AutónomaAsturias"
0.7,0.5,0.67,"Comunidad.AutónomaCantabria"
0.7,0.5,0.67,"Comunidad.AutónomaCastilla.y.León"
0.76,0,0.23,"Comunidad.AutónomaCataluña"
0.7,0.5,0.67,"Comunidad.AutónomaExtremadura"
0.72,0.52,1,"Comunidad.AutónomaGalicia"
0.7,0.5,0.67,"Comunidad.AutónomaLa.Rioja"
0.75,0.89,0.11,"Comunidad.AutónomaMadrid"
0.71,0.5,0.76,"Comunidad.AutónomaMurcia"
0.7,0.5,0.66,"Comunidad.AutónomaNavarra"
0.7,0.5,0.67,"Comunidad.AutónomaPaís.Vasco"
0.78,0,0.22,"Rama.de.enseñanzaCiencias"
0.67,0.5,0.99,"Rama.de.enseñanzaCiencias.de.la.Salud"
0.03,0.5,0.45,"Rama.de.enseñanzaCiencias.Sociales.y.Jurídicas"
0.67,0.5,0.99,"Rama.de.enseñanzaIngeniería.y.Arquitectura"
0.54,0.54,0.54,"Ámbito.de.estudioArquitectura.y.construcción"
0,0.4,0.6,"Ámbito.de.estudioArtes"
0.54,0.54,0.54,"Ámbito.de.estudioCiencias.de.la.vida"
0.54,0.54,0.54,"Ámbito.de.estudioCiencias.Físicas..químicas..geológicas"
0.59,0.59,0.52,"Ámbito.de.estudioDerecho"
0.55,0.62,0.43,"Ámbito.de.estudioEconomía"
0.54,0.54,0.54,"Ámbito.de.estudioEnfermería.y.atención.a.enfermos"
0.54,0.54,0.54,"Ámbito.de.estudioHumanidades"
0.54,0.54,0.54,"Ámbito.de.estudioInformática"
0.78,0.08,0.68,"Ámbito.de.estudioIngenierías"
0.61,0.83,1,"Ámbito.de.estudioLenguas"
0.61,0.74,0.26,"Ámbito.de.estudioMedicina"
0.62,0.5,0.32,"Ámbito.de.estudioPeriodismo.e.información"
0.54,0.54,0.54,"Ámbito.de.estudioTrabajo.social.y.orientación"
0.46,0.46,0.46,"Zona.de.nacionalidadAsia.y.Oceanía"
0.6,0.3,0.89,"Zona.de.nacionalidadEEUU.y.Canadá"
0.55,0.42,0.61,"Zona.de.nacionalidadEspaña"
0.52,0.35,0.6,"Zona.de.nacionalidadNorte.de.África"
0.75,1,0.36,"Zona.de.nacionalidadResto.de.África"
0.01,0.47,0.43,"Zona.de.nacionalidadResto.de.Europa"
0.15,0.59,0.35,"Zona.de.nacionalidadUnión.Europea"
