"Comunidad Autónoma","Universidad","Curso","Sexo","Forma de admisión","Rama de enseñanza","Nota media"
"Galicia","A Coruña","2022-2023","Hombres","PAU","Ciencias Sociales y Jurídicas","9.67"
"Galicia","A Coruña","2021-2022","Hombres","PAU","Ciencias Sociales y Jurídicas","9.66"
"Galicia","A Coruña","2020-2021","Hombres","PAU","Ciencias Sociales y Jurídicas","9.23"
"Galicia","A Coruña","2019-2020","Hombres","PAU","Ciencias Sociales y Jurídicas","8.86"
"Galicia","A Coruña","2018-2019","Hombres","PAU","Ciencias Sociales y Jurídicas","8.53"
"Galicia","A Coruña","2017-2018","Hombres","PAU","Ciencias Sociales y Jurídicas","8.35"
"Galicia","A Coruña","2016-2017","Hombres","PAU","Ciencias Sociales y Jurídicas","7.92"
"Galicia","A Coruña","2015-2016","Hombres","PAU","Ciencias Sociales y Jurídicas","7.61"
"Galicia","A Coruña","2022-2023","Mujeres","PAU","Ciencias Sociales y Jurídicas","10.19"
"Galicia","A Coruña","2021-2022","Mujeres","PAU","Ciencias Sociales y Jurídicas","10.23"
"Galicia","A Coruña","2020-2021","Mujeres","PAU","Ciencias Sociales y Jurídicas","9.82"
"Galicia","A Coruña","2019-2020","Mujeres","PAU","Ciencias Sociales y Jurídicas","9.2"
"Galicia","A Coruña","2018-2019","Mujeres","PAU","Ciencias Sociales y Jurídicas","9.01"
"Galicia","A Coruña","2017-2018","Mujeres","PAU","Ciencias Sociales y Jurídicas","8.65"
"Galicia","A Coruña","2016-2017","Mujeres","PAU","Ciencias Sociales y Jurídicas","8.29"
"Galicia","A Coruña","2015-2016","Mujeres","PAU","Ciencias Sociales y Jurídicas","8"
"Galicia","A Coruña","2022-2023","Hombres","PAU","Ingeniería y Arquitectura","9.95"
"Galicia","A Coruña","2021-2022","Hombres","PAU","Ingeniería y Arquitectura","10.16"
"Galicia","A Coruña","2020-2021","Hombres","PAU","Ingeniería y Arquitectura","9.66"
"Galicia","A Coruña","2019-2020","Hombres","PAU","Ingeniería y Arquitectura","9.18"
"Galicia","A Coruña","2018-2019","Hombres","PAU","Ingeniería y Arquitectura","8.76"
"Galicia","A Coruña","2017-2018","Hombres","PAU","Ingeniería y Arquitectura","8.43"
"Galicia","A Coruña","2016-2017","Hombres","PAU","Ingeniería y Arquitectura","7.79"
"Galicia","A Coruña","2015-2016","Hombres","PAU","Ingeniería y Arquitectura","7.88"
"Galicia","A Coruña","2022-2023","Mujeres","PAU","Ingeniería y Arquitectura","9.78"
"Galicia","A Coruña","2021-2022","Mujeres","PAU","Ingeniería y Arquitectura","10.33"
"Galicia","A Coruña","2020-2021","Mujeres","PAU","Ingeniería y Arquitectura","9.75"
"Galicia","A Coruña","2019-2020","Mujeres","PAU","Ingeniería y Arquitectura","9.13"
"Galicia","A Coruña","2018-2019","Mujeres","PAU","Ingeniería y Arquitectura","8.97"
"Galicia","A Coruña","2017-2018","Mujeres","PAU","Ingeniería y Arquitectura","8.92"
"Galicia","A Coruña","2016-2017","Mujeres","PAU","Ingeniería y Arquitectura","8.32"
"Galicia","A Coruña","2015-2016","Mujeres","PAU","Ingeniería y Arquitectura","8.17"
"Galicia","A Coruña","2022-2023","Hombres","PAU","Artes y Humanidades","8.3"
"Galicia","A Coruña","2021-2022","Hombres","PAU","Artes y Humanidades","7.37"
"Galicia","A Coruña","2020-2021","Hombres","PAU","Artes y Humanidades","7.87"
"Galicia","A Coruña","2019-2020","Hombres","PAU","Artes y Humanidades","7.56"
"Galicia","A Coruña","2018-2019","Hombres","PAU","Artes y Humanidades","8.05"
"Galicia","A Coruña","2017-2018","Hombres","PAU","Artes y Humanidades","7.55"
"Galicia","A Coruña","2016-2017","Hombres","PAU","Artes y Humanidades","6.68"
"Galicia","A Coruña","2015-2016","Hombres","PAU","Artes y Humanidades","6.53"
"Galicia","A Coruña","2022-2023","Mujeres","PAU","Artes y Humanidades","9.09"
"Galicia","A Coruña","2021-2022","Mujeres","PAU","Artes y Humanidades","8.36"
"Galicia","A Coruña","2020-2021","Mujeres","PAU","Artes y Humanidades","8.53"
"Galicia","A Coruña","2019-2020","Mujeres","PAU","Artes y Humanidades","8.74"
"Galicia","A Coruña","2018-2019","Mujeres","PAU","Artes y Humanidades","8.01"
"Galicia","A Coruña","2017-2018","Mujeres","PAU","Artes y Humanidades","7.64"
"Galicia","A Coruña","2016-2017","Mujeres","PAU","Artes y Humanidades","7.73"
"Galicia","A Coruña","2015-2016","Mujeres","PAU","Artes y Humanidades","7.46"
"Galicia","A Coruña","2022-2023","Hombres","PAU","Ciencias de la Salud","10.87"
"Galicia","A Coruña","2021-2022","Hombres","PAU","Ciencias de la Salud","11.21"
"Galicia","A Coruña","2020-2021","Hombres","PAU","Ciencias de la Salud","11"
"Galicia","A Coruña","2019-2020","Hombres","PAU","Ciencias de la Salud","10.19"
"Galicia","A Coruña","2018-2019","Hombres","PAU","Ciencias de la Salud","9.94"
"Galicia","A Coruña","2017-2018","Hombres","PAU","Ciencias de la Salud","9.84"
"Galicia","A Coruña","2016-2017","Hombres","PAU","Ciencias de la Salud","9.71"
"Galicia","A Coruña","2015-2016","Hombres","PAU","Ciencias de la Salud","9.6"
"Galicia","A Coruña","2022-2023","Mujeres","PAU","Ciencias de la Salud","10.58"
"Galicia","A Coruña","2021-2022","Mujeres","PAU","Ciencias de la Salud","10.85"
"Galicia","A Coruña","2020-2021","Mujeres","PAU","Ciencias de la Salud","10.4"
"Galicia","A Coruña","2019-2020","Mujeres","PAU","Ciencias de la Salud","9.85"
"Galicia","A Coruña","2018-2019","Mujeres","PAU","Ciencias de la Salud","9.56"
"Galicia","A Coruña","2017-2018","Mujeres","PAU","Ciencias de la Salud","9.57"
"Galicia","A Coruña","2016-2017","Mujeres","PAU","Ciencias de la Salud","8.93"
"Galicia","A Coruña","2015-2016","Mujeres","PAU","Ciencias de la Salud","9.1"
"Galicia","A Coruña","2022-2023","Hombres","PAU","Ciencias","10.47"
"Galicia","A Coruña","2021-2022","Hombres","PAU","Ciencias","10.7"
"Galicia","A Coruña","2020-2021","Hombres","PAU","Ciencias","10.36"
"Galicia","A Coruña","2019-2020","Hombres","PAU","Ciencias","9.53"
"Galicia","A Coruña","2018-2019","Hombres","PAU","Ciencias","9.72"
"Galicia","A Coruña","2017-2018","Hombres","PAU","Ciencias","9.39"
"Galicia","A Coruña","2016-2017","Hombres","PAU","Ciencias","8.86"
"Galicia","A Coruña","2015-2016","Hombres","PAU","Ciencias","8.43"
"Galicia","A Coruña","2022-2023","Mujeres","PAU","Ciencias","10.45"
"Galicia","A Coruña","2021-2022","Mujeres","PAU","Ciencias","10.84"
"Galicia","A Coruña","2020-2021","Mujeres","PAU","Ciencias","10.37"
"Galicia","A Coruña","2019-2020","Mujeres","PAU","Ciencias","9.67"
"Galicia","A Coruña","2018-2019","Mujeres","PAU","Ciencias","9.68"
"Galicia","A Coruña","2017-2018","Mujeres","PAU","Ciencias","9.88"
"Galicia","A Coruña","2016-2017","Mujeres","PAU","Ciencias","9.12"
"Galicia","A Coruña","2015-2016","Mujeres","PAU","Ciencias","8.78"
"Galicia","A Coruña","2022-2023","Hombres","FP","Ciencias Sociales y Jurídicas","9.58"
"Galicia","A Coruña","2021-2022","Hombres","FP","Ciencias Sociales y Jurídicas","9.35"
"Galicia","A Coruña","2020-2021","Hombres","FP","Ciencias Sociales y Jurídicas","8.64"
"Galicia","A Coruña","2019-2020","Hombres","FP","Ciencias Sociales y Jurídicas","8.59"
"Galicia","A Coruña","2018-2019","Hombres","FP","Ciencias Sociales y Jurídicas","8.21"
"Galicia","A Coruña","2017-2018","Hombres","FP","Ciencias Sociales y Jurídicas","7.94"
"Galicia","A Coruña","2016-2017","Hombres","FP","Ciencias Sociales y Jurídicas","7.76"
"Galicia","A Coruña","2015-2016","Hombres","FP","Ciencias Sociales y Jurídicas","7.6"
"Galicia","A Coruña","2022-2023","Mujeres","FP","Ciencias Sociales y Jurídicas","9.36"
"Galicia","A Coruña","2021-2022","Mujeres","FP","Ciencias Sociales y Jurídicas","9.23"
"Galicia","A Coruña","2020-2021","Mujeres","FP","Ciencias Sociales y Jurídicas","8.79"
"Galicia","A Coruña","2019-2020","Mujeres","FP","Ciencias Sociales y Jurídicas","8.28"
"Galicia","A Coruña","2018-2019","Mujeres","FP","Ciencias Sociales y Jurídicas","8.13"
"Galicia","A Coruña","2017-2018","Mujeres","FP","Ciencias Sociales y Jurídicas","7.89"
"Galicia","A Coruña","2016-2017","Mujeres","FP","Ciencias Sociales y Jurídicas","7.82"
"Galicia","A Coruña","2015-2016","Mujeres","FP","Ciencias Sociales y Jurídicas","7.75"
"Galicia","A Coruña","2022-2023","Hombres","FP","Ingeniería y Arquitectura","7.98"
"Galicia","A Coruña","2021-2022","Hombres","FP","Ingeniería y Arquitectura","7.58"
"Galicia","A Coruña","2020-2021","Hombres","FP","Ingeniería y Arquitectura","7.85"
"Galicia","A Coruña","2019-2020","Hombres","FP","Ingeniería y Arquitectura","7.61"
"Galicia","A Coruña","2018-2019","Hombres","FP","Ingeniería y Arquitectura","7.94"
"Galicia","A Coruña","2017-2018","Hombres","FP","Ingeniería y Arquitectura","7.5"
"Galicia","A Coruña","2016-2017","Hombres","FP","Ingeniería y Arquitectura","7.44"
"Galicia","A Coruña","2015-2016","Hombres","FP","Ingeniería y Arquitectura","7.17"
"Galicia","A Coruña","2022-2023","Mujeres","FP","Ingeniería y Arquitectura",NA
"Galicia","A Coruña","2021-2022","Mujeres","FP","Ingeniería y Arquitectura",NA
"Galicia","A Coruña","2020-2021","Mujeres","FP","Ingeniería y Arquitectura",NA
"Galicia","A Coruña","2019-2020","Mujeres","FP","Ingeniería y Arquitectura",NA
"Galicia","A Coruña","2018-2019","Mujeres","FP","Ingeniería y Arquitectura",NA
"Galicia","A Coruña","2017-2018","Mujeres","FP","Ingeniería y Arquitectura",NA
"Galicia","A Coruña","2016-2017","Mujeres","FP","Ingeniería y Arquitectura",NA
"Galicia","A Coruña","2015-2016","Mujeres","FP","Ingeniería y Arquitectura",NA
"Galicia","A Coruña","2022-2023","Hombres","FP","Artes y Humanidades",NA
"Galicia","A Coruña","2021-2022","Hombres","FP","Artes y Humanidades",NA
"Galicia","A Coruña","2020-2021","Hombres","FP","Artes y Humanidades",NA
"Galicia","A Coruña","2019-2020","Hombres","FP","Artes y Humanidades",NA
"Galicia","A Coruña","2018-2019","Hombres","FP","Artes y Humanidades",NA
"Galicia","A Coruña","2017-2018","Hombres","FP","Artes y Humanidades",NA
"Galicia","A Coruña","2016-2017","Hombres","FP","Artes y Humanidades",NA
"Galicia","A Coruña","2015-2016","Hombres","FP","Artes y Humanidades",NA
"Galicia","A Coruña","2022-2023","Mujeres","FP","Artes y Humanidades",NA
"Galicia","A Coruña","2021-2022","Mujeres","FP","Artes y Humanidades",NA
"Galicia","A Coruña","2020-2021","Mujeres","FP","Artes y Humanidades",NA
"Galicia","A Coruña","2019-2020","Mujeres","FP","Artes y Humanidades",NA
"Galicia","A Coruña","2018-2019","Mujeres","FP","Artes y Humanidades",NA
"Galicia","A Coruña","2017-2018","Mujeres","FP","Artes y Humanidades",NA
"Galicia","A Coruña","2016-2017","Mujeres","FP","Artes y Humanidades",NA
"Galicia","A Coruña","2015-2016","Mujeres","FP","Artes y Humanidades",NA
"Galicia","A Coruña","2022-2023","Hombres","FP","Ciencias de la Salud",NA
"Galicia","A Coruña","2021-2022","Hombres","FP","Ciencias de la Salud",NA
"Galicia","A Coruña","2020-2021","Hombres","FP","Ciencias de la Salud",NA
"Galicia","A Coruña","2019-2020","Hombres","FP","Ciencias de la Salud",NA
"Galicia","A Coruña","2018-2019","Hombres","FP","Ciencias de la Salud",NA
"Galicia","A Coruña","2017-2018","Hombres","FP","Ciencias de la Salud",NA
"Galicia","A Coruña","2016-2017","Hombres","FP","Ciencias de la Salud","9.2"
"Galicia","A Coruña","2015-2016","Hombres","FP","Ciencias de la Salud",NA
"Galicia","A Coruña","2022-2023","Mujeres","FP","Ciencias de la Salud","9.85"
